size	disorder	algorithm	ops_avg	time_ms_avg
300	1.0	complex	4220	12
500	0.0	adaptive	0	11
500	0.0	simple	0	10
500	0.0	medium	0	10
500	0.0	complex	0	10
500	0.05	adaptive	6784	17
500	0.05	simple	7222	148
500	0.05	medium	9001	23
500	0.05	complex	6784	17
500	0.1	adaptive	6784	17
500	0.1	simple	11877	168
500	0.1	medium	8827	25
500	0.1	complex	6784	17
500	0.15	adaptive	6784	17
500	0.15	simple	16501	170
500	0.15	medium	8847	24
500	0.15	complex	6784	17
500	0.2	adaptive	6784	17
500	0.2	simple	18969	174
500	0.2	medium	8890	25
500	0.2	complex	6784	18
500	0.25	adaptive	6784	17
500	0.25	simple	21156	178
500	0.25	medium	8778	24
500	0.25	complex	6784	17
500	0.3	adaptive	6784	17
500	0.3	simple	22486	183
500	0.3	medium	8884	24
500	0.3	complex	6784	16
500	0.35	adaptive	6784	17
500	0.35	simple	22630	182
500	0.35	medium	8877	24
500	0.35	complex	6784	16
500	0.4	adaptive	6784	17
500	0.4	simple	22260	184
500	0.4	medium	8857	24
500	0.4	complex	6784	16
500	0.45	adaptive	6784	17
500	0.45	simple	22472	187
500	0.45	medium	8814	24
500	0.45	complex	6784	16
500	0.5	adaptive	6784	17
500	0.5	simple	20126	178
500	0.5	medium	8597	22
500	0.5	complex	6784	17
500	0.55	adaptive	6784	17
500	0.55	simple	21485	174
500	0.55	medium	8655	22
500	0.55	complex	6784	16
500	0.6	adaptive	6784	17
500	0.6	simple	21590	174
500	0.6	medium	8561	22
500	0.6	complex	6784	17
500	0.65	adaptive	6784	17
500	0.65	simple	22350	177
500	0.65	medium	8646	23
500	0.65	complex	6784	16
500	0.7	adaptive	6784	17
500	0.7	simple	21468	175
500	0.7	medium	8597	22
500	0.7	complex	6784	17
500	0.75	adaptive	6784	18
500	0.75	simple	21280	176
500	0.75	medium	8706	24
500	0.75	complex	6784	17
500	0.8	adaptive	6784	18
500	0.8	simple	19188	172
500	0.8	medium	8702	23
500	0.8	complex	6784	16
500	0.85	adaptive	6784	17
500	0.85	simple	15787	164
500	0.85	medium	8770	23
500	0.85	complex	6784	17
500	0.9	adaptive	6784	17
500	0.9	simple	11968	157
500	0.9	medium	8833	23
500	0.9	complex	6784	16
500	0.95	adaptive	6784	17
500	0.95	simple	6992	147
500	0.95	medium	8850	23
500	0.95	complex	6784	17
500	1.0	adaptive	1492	13
500	1.0	simple	1493	138
500	1.0	medium	7845	22
500	1.0	complex	6784	17
750	0.0	adaptive	0	14
750	0.0	simple	0	14
750	0.0	medium	0	14
750	0.0	complex	0	14
750	0.05	adaptive	11543	26
750	0.05	simple	15067	443
750	0.05	medium	15902	43
750	0.05	complex	11543	25
750	0.1	adaptive	11543	26
750	0.1	simple	26060	484
750	0.1	medium	15767	42
750	0.1	complex	11543	25
750	0.15	adaptive	11543	26
750	0.15	simple	35043	490
750	0.15	medium	15797	42
750	0.15	complex	11543	25
750	0.2	adaptive	11543	26
750	0.2	simple	41535	509
750	0.2	medium	15744	43
750	0.2	complex	11543	25
750	0.25	adaptive	11543	26
750	0.25	simple	47565	526
750	0.25	medium	15670	43
750	0.25	complex	11543	24
750	0.3	adaptive	11543	26
750	0.3	simple	49456	541
750	0.3	medium	15620	42
750	0.3	complex	11543	24
750	0.35	adaptive	11543	27
750	0.35	simple	49903	547
750	0.35	medium	15567	42
750	0.35	complex	11543	24
750	0.4	adaptive	11543	27
750	0.4	simple	49016	542
750	0.4	medium	15683	43
750	0.4	complex	11543	25
750	0.45	adaptive	11543	26
750	0.45	simple	47339	534
750	0.45	medium	15774	42
750	0.45	complex	11543	25
750	0.5	adaptive	11543	26
750	0.5	simple	45934	514
750	0.5	medium	15146	39
750	0.5	complex	11543	24
750	0.55	adaptive	11543	27
750	0.55	simple	47271	516
750	0.55	medium	15220	40
750	0.55	complex	11543	25
750	0.6	adaptive	11543	27
750	0.6	simple	47136	521
750	0.6	medium	15430	41
750	0.6	complex	11543	26
750	0.65	adaptive	11543	26
750	0.65	simple	48192	521
750	0.65	medium	15513	40
750	0.65	complex	11543	25
750	0.7	adaptive	11543	26
750	0.7	simple	48278	526
750	0.7	medium	15481	38
750	0.7	complex	11543	25
750	0.75	adaptive	11543	26
750	0.75	simple	47222	528
750	0.75	medium	15562	41
750	0.75	complex	11543	24
750	0.8	adaptive	11543	26
750	0.8	simple	41772	504
750	0.8	medium	15658	41
750	0.8	complex	11543	24
750	0.85	adaptive	11543	26
750	0.85	simple	35359	500
750	0.85	medium	15731	40
750	0.85	complex	11543	24
750	0.9	adaptive	11543	27
750	0.9	simple	26218	838
750	0.9	medium	15863	62
750	0.9	complex	11543	25
750	0.95	adaptive	11543	26
750	0.95	simple	14929	442
750	0.95	medium	15816	41
750	0.95	complex	11543	25
750	1.0	adaptive	2242	20
750	1.0	simple	2243	414
750	1.0	medium	13687	37
750	1.0	complex	11543	24
1000	0.0	adaptive	0	19
1000	0.0	simple	0	19
1000	0.0	medium	0	19
1000	0.0	complex	0	19
1000	0.05	adaptive	15068	36
1000	0.05	simple	26061	1006
1000	0.05	medium	24109	69
1000	0.05	complex	15068	33
1000	0.1	adaptive	15068	36
1000	0.1	simple	46087	1080
1000	0.1	medium	23714	65
1000	0.1	complex	15068	34
1000	0.15	adaptive	15068	35
1000	0.15	simple	61669	1128
1000	0.15	medium	23834	68
1000	0.15	complex	15068	33
1000	0.2	adaptive	15068	35
1000	0.2	simple	72528	1541
1000	0.2	medium	23745	69
1000	0.2	complex	15068	33
1000	0.25	adaptive	15068	37
1000	0.25	simple	81194	1218
1000	0.25	medium	23852	70
1000	0.25	complex	15068	33
1000	0.3	adaptive	15068	38
1000	0.3	simple	83430	1275
1000	0.3	medium	23700	67
1000	0.3	complex	15068	34
1000	0.35	adaptive	15068	35
1000	0.35	simple	87040	1291
1000	0.35	medium	23732	69
1000	0.35	complex	15068	33
1000	0.4	adaptive	15068	39
1000	0.4	simple	84089	1646
1000	0.4	medium	23655	67
1000	0.4	complex	15068	33
1000	0.45	adaptive	15068	36
1000	0.45	simple	83557	1303
1000	0.45	medium	23766	68
1000	0.45	complex	15068	33
1000	0.5	adaptive	15068	36
1000	0.5	simple	82078	1210
1000	0.5	medium	22939	62
1000	0.5	complex	15068	33
1000	0.55	adaptive	15068	35
1000	0.55	simple	82291	1206
1000	0.55	medium	23323	62
1000	0.55	complex	15068	33
1000	0.6	adaptive	15068	36
1000	0.6	simple	81705	1592
1000	0.6	medium	23574	69
1000	0.6	complex	15068	33
1000	0.65	adaptive	15068	35
1000	0.65	simple	88310	1268
1000	0.65	medium	23443	62
1000	0.65	complex	15068	33
1000	0.7	adaptive	15068	36
1000	0.7	simple	87437	1244
1000	0.7	medium	23593	64
1000	0.7	complex	15068	33
1000	0.75	adaptive	15068	35
1000	0.75	simple	81019	1184
1000	0.75	medium	23638	64
1000	0.75	complex	15068	33
1000	0.8	adaptive	15068	37
1000	0.8	simple	74318	1173
1000	0.8	medium	23667	63
1000	0.8	complex	15068	33
1000	0.85	adaptive	15068	432
1000	0.85	simple	61291	1137
1000	0.85	medium	23776	71
1000	0.85	complex	15068	34
1000	0.9	adaptive	15068	37
1000	0.9	simple	44858	1048
1000	0.9	medium	23984	64
1000	0.9	complex	15068	33
1000	0.95	adaptive	15068	35
1000	0.95	simple	25961	989
1000	0.95	medium	23896	65
1000	0.95	complex	15068	33
1000	1.0	adaptive	2992	30
1000	1.0	simple	2993	938
1000	1.0	medium	20516	55
1000	1.0	complex	15068	33
